ID	R15D01	R15D02	R15D03	R15D04	R15D05	R15D06	R15T00	R15T01	R15T02	R15T03	R15T04
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_6595_cov_336.563914_355_1_1|TTV_Clade1	0	0	0.002548915	0	0	0	0	0.000268742	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_6595_cov_336.563914_4068_3_2|TTV_Clade1	0	0	0.01079545	0	0	0	0	0	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_20_length_2598_cov_3619.073535_285_6_1|TTMV	0	0	0.069836836	0	0	0	0	0.00852845	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_22_length_2526_cov_995.403480_280_4_1|TTMV	0	0	0.017817697	0	0	0	0	0.055832674	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_23_length_2517_cov_125.357027_289_1_1|TTMV	0	0	0.002194733	0	0	0	0	0.003601518	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_24_length_2484_cov_6.892137_270_3_1|TTMV	0	0.370796262	0.000119059	0	0	0	0	0.01287437	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_3531_cov_1152.897296_894_6_1|TTV_Clade9	0	0	0.024421365	0	0	0	0	0.011872581	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_3224_cov_18.896182_685_4_1|TLMV	0	0	0.000335462	0	0	0	0	5.11E-05	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_3207_cov_23315.272208_560_2_1|TTV_Clade5	0	0	0.520098542	0	0	0	0	0.027815401	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_3195_cov_968.063694_604_1_1|TTV_Clade3	0	0	0.01994354	0	0	0	0	2.59E-05	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_3103_cov_2877.625656_344_5_1|TTV_Clade7	0	0	0.056226647	0	0	0	0	3.15E-06	0	0	0.000585652
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_9_length_3097_cov_55.299803_371_2_1|TTV_Clade6	0	0	0.00117936	0.000565382	0.000121234	0	0	0.000129324	0	0	0
R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3888_cov_1164.967649_908_5_1|TTV_Clade6	0	0	0	0.24157984	0	0	0	0	0	0	0
R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3843_cov_1876.481785_528_3_1|TTV_Clade5	0	0	0	0.372667797	0	0	0	2.52E-06	0	0	0
R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_3593_cov_156.131148_867_6_1|TTV_Clade5	0	0	0	0.031122957	0	0	0	0.000241615	0	0	0
R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_3545_cov_1597.822350_398_2_1|TTV_Clade8	0	0	0.017265083	0.295944054	0	0	0	0	0	0	0
R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_3073_cov_70.597084_446_2_1|TTV_Clade8	0	0	0	0.012936489	0	0	0	0.011888352	0	0.559029134	0
R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_3054_cov_119.960654_396_3_1|TTV_Clade6	0	0	0	0.022662413	0	0	0	1.77E-05	0	0	0
R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_2999_cov_97.106658_278_2_1|TLMV	0	0	0	0.016059554	0	0	0	0.000664915	0	0	0
R15D04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_9_length_2898_cov_34.285262_628_4_1|TLMV	0	0	0	0.005620171	0	0	0	8.20E-06	0	0	0
R15D05_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3785_cov_3584.146113_908_5_1|TTV_Clade8	0	0	0	0	0.968218146	0	0.000147512	0.00165661	0	0	0
R15D05_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_2986_cov_19.034118_398_5_1|TLMV	0	0	0	0	0.004476317	0	0	0	0	0	0
R15D05_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_2756_cov_10.913736_416_5_1|TLMV	0	0	0	0	0.00232209	0	0	0	0	0	0
R15T00_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_4193_cov_1558.231996_659_2_1|TTV_Clade9	0	0	6.74E-06	0	0	0	0.716511041	0.000183577	0	0	0
R15T00_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3800_cov_130.407477_628_1_1|TTV_Clade5	0	0	0	0	0	0	0.058311575	0	0	0	0
R15T00_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_3531_cov_229.680667_361_1_1|TTV_Clade8	0	0	0	0	0.024862213	0	0.086589665	2.52E-06	0	0	0
R15T00_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_3517_cov_379.375217_861_6_1|TTV_Clade7	0	0	0	0	0	0	0.137466625	0.038753694	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_117_length_2467_cov_389.404643_214_4_1|TTMV	0	0	0	0	0	0	0	0.005724956	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_120_length_2452_cov_2.936587_252_3_1|TLMV	0	0	0	0	0	0	0	4.98E-05	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_123_length_2384_cov_1059.941606_241_4_1|TTMV	0	0	0	0	0	0	0	0.016324484	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_126_length_2285_cov_117.301794_1_1_1|TLMV	0	0	0	0	0	0	0	0.000649144	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_20_length_3189_cov_3309.651563_624_3_1|TTV_Clade5	0	0	0	0	0	0	0	0.054924882	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_26_length_3069_cov_1068.148640_187_4_1|TTV_Clade3	0	0	1.35E-05	0	0	0	0	0.015008532	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_51_length_2902_cov_34.405690_344_5_1|TLMV	0	0	7.49E-07	0	0	0	0	0.000479445	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_52_length_2897_cov_10.383885_499_1_1|TLMV	0	0	0	0	0	0	0	0.00014825	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_60_length_2878_cov_610.174637_282_6_1|TTV_Clade8	0	0	1.50E-06	6.73E-06	0	0	0	0.010340879	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_66_length_2849_cov_19.185039_540_3_1|TLMV	0	0	0	0	0	0	0	0.000295237	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_75_length_2723_cov_17.354198_361_4_1|TLMV	0	0	0	0	0	0	0	0.000256125	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_3791_cov_2963.101713_870_6_1|TTV_Clade3	0	0	0	0	0	0	0	0.051823627	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_82_length_2650_cov_5.562620_267_3_1|TLMV	0	0	0	0	0	0	0	9.21E-05	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_85_length_2609_cov_59.303054_252_3_1|TLMV	0	0	0	0	0	0	0	0.000872464	0	0	0
R15T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_9_length_3592_cov_436.705117_1000_4_1|TLMV	0	0	0	0	0	0	0	0.008457164	0	0	0
R15T01_VL46-0475-05292019|NODE_101_length_2558_cov_817.499800_277_1_1|TTMV	0	0	0	0	0	0	0	0.002560617	0	0	0
R15T01_VL46-0475-05292019|NODE_102_length_2556_cov_547.391843_269_2_1|TTMV	0	0	7.49E-07	0	0	0	0	0.001756284	0	0	0
R15T01_VL46-0475-05292019|NODE_103_length_2550_cov_103.046092_248_2_1|TTMV	0	0	0	0	0	0	0	0.000320471	0	0	0
R15T01_VL46-0475-05292019|NODE_104_length_2546_cov_3584.259735_258_3_1|TTMV	0	0	0	0	0	0	0	0.01380361	0	0	0
R15T01_VL46-0475-05292019|NODE_106_length_2545_cov_18.983936_209_5_1|TTMV	0	0	0	0	0	0	0	6.12E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_107_length_2540_cov_1405.032596_278_5_1|TTMV	0	0	0	0	0	0	0	0.004612138	0	0	0
R15T01_VL46-0475-05292019|NODE_108_length_2539_cov_94.061997_249_3_1|TTMV	0	0	0	0	0	0	0	0.000318579	0	0	0
R15T01_VL46-0475-05292019|NODE_109_length_2536_cov_75.440145_206_2_1|TTMV	0	0	3.00E-06	0	0	0	0	0.000220797	0	0	0
R15T01_VL46-0475-05292019|NODE_110_length_2532_cov_3.735971_216_3_1|TLMV	0	0	0	0	0	0	0	2.52E-06	0	0	0
R15T01_VL46-0475-05292019|NODE_112_length_2521_cov_3115.976480_197_2_1|TTMV	0	0	0	0	0	0	0	0.011184325	0	0	0
R15T01_VL46-0475-05292019|NODE_113_length_2521_cov_207.150852_293_5_1|TLMV	0	0	0	0	0	0	0	0.000599938	0	0	0
R15T01_VL46-0475-05292019|NODE_114_length_2521_cov_19.283455_231_6_1|TLMV	0	0	0	0	0	0	0	5.80E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_115_length_2520_cov_1737.572819_245_2_1|TTMV	0	0	0	0	0	0	0	0.005864374	0	0	0
R15T01_VL46-0475-05292019|NODE_116_length_2518_cov_5010.185546_249_3_1|TTMV	0	0	0	0	0	0	0	0.018215769	0	0	0
R15T01_VL46-0475-05292019|NODE_117_length_2516_cov_9211.645672_230_5_1|TTMV	0	0	0	0	0	0	0	0.037462346	0	0	0
R15T01_VL46-0475-05292019|NODE_119_length_2503_cov_1325.506944_224_5_1|TTMV	0	0	0	0	0	0	0	0.004326364	0	0	0
R15T01_VL46-0475-05292019|NODE_120_length_2500_cov_1131.528425_257_2_1|TTMV	0	0	0	0	0	0	0	0.003824208	0	0	0
R15T01_VL46-0475-05292019|NODE_121_length_2500_cov_460.565644_251_2_1|TTMV	0	0	0	0	0	0	0	0.001406794	0	0	0
R15T01_VL46-0475-05292019|NODE_122_length_2495_cov_72.416803_250_1_1|TTMV	0	0	0	0	0	0	0	0.000254863	0	0	0
R15T01_VL46-0475-05292019|NODE_123_length_2494_cov_1767.432144_223_4_1|TTMV	0	0	0	0	0	0	0	0.006000006	0	0	0
R15T01_VL46-0475-05292019|NODE_124_length_2481_cov_689.740725_208_4_1|TTMV	0	0	7.49E-07	0	0	0	0	0.002241407	0	0	0
R15T01_VL46-0475-05292019|NODE_125_length_2480_cov_2876.163711_208_4_1|TTMV	0	0	0	0	0	0	0	0.010190106	0	0	0
R15T01_VL46-0475-05292019|NODE_127_length_2466_cov_643.741601_219_6_1|TTMV	0	0	0	0	0	0	0	0.002030703	0	0	0
R15T01_VL46-0475-05292019|NODE_128_length_2465_cov_15.974689_280_1_1|TTMV	0	0	0	0	0	0	0	3.72E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_129_length_2446_cov_19.290673_207_3_1|TLMV	0	0	0	0	0	0	0	4.67E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_130_length_2445_cov_613.889540_226_4_1|TTMV	0	0	0	0	0	0	0	0.001865421	0	0	0
R15T01_VL46-0475-05292019|NODE_131_length_2445_cov_3.393305_316_4_1|TLMV	0	0	0	0	0	0	0	1.07E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_133_length_2432_cov_265.176273_207_6_1|TTMV	0	0	2.25E-06	0	0	0	0	0.000737463	0	0	0
R15T01_VL46-0475-05292019|NODE_136_length_2412_cov_2.958422_194_2_1|TLMV	0	0	0	0	0	0	0	1.26E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_14_length_3158_cov_936.268128_586_1_1|TTV_Clade3	0	0	0	0	0	0	0	0.003642523	0	0	0
R15T01_VL46-0475-05292019|NODE_15_length_3140_cov_107.346840_634_4_1|TLMV	0	0	0	0	0	0	0	0.00028199	0	0	0
R15T01_VL46-0475-05292019|NODE_16_length_3082_cov_178.531219_582_6_1|TLMV	0	0	0	0	0	0	0	0.000478815	0	0	0
R15T01_VL46-0475-05292019|NODE_18_length_3054_cov_4068.450483_340_1_1|TTV_Clade1	0	0	0	0	0	0	0	0.016971735	0	0	0
R15T01_VL46-0475-05292019|NODE_21_length_3034_cov_6456.012756_347_5_1|TTV_Clade5	0	0	0	6.06E-05	0	0	0	0.031116635	0	0	0
R15T01_VL46-0475-05292019|NODE_22_length_3027_cov_1708.169246_399_3_1|TTV_Clade4	0	0	2.25E-06	0	0	0	0	0.007113455	0	0	0.000195217
R15T01_VL46-0475-05292019|NODE_23_length_3016_cov_1875.762242_351_6_1|TTV_Clade6	0	0	0	0	0	0	0	0.00770393	0	0	0
R15T01_VL46-0475-05292019|NODE_24_length_3008_cov_188.953607_360_6_1|TTV_Clade7	0	0	0	0	0	0	0	0.000693303	0	0	0
R15T01_VL46-0475-05292019|NODE_25_length_3005_cov_11086.443051_344_2_1|TTV_Clade3	0	0	0	0	0	0	0	0.050449007	0	0	0
R15T01_VL46-0475-05292019|NODE_26_length_3003_cov_73.934193_653_5_1|TLMV	0	0	0	0	0	0	0	0.000197456	0	0	0
R15T01_VL46-0475-05292019|NODE_27_length_3001_cov_4416.564155_293_5_1|TTV_Clade9	0	0	0	0	0	0	0	0.01921945	0	0.000498897	0
R15T01_VL46-0475-05292019|NODE_28_length_3000_cov_1969.001019_334_4_1|TTV_Clade7	0	0	0	0.000774035	0	0	0	0.008031971	0	0	0
R15T01_VL46-0475-05292019|NODE_29_length_2985_cov_27.524915_379_4_1|TLMV	0	0	0	0	0	0	0	8.39E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_2_length_5870_cov_140.219948_3539_5_2|TLMV	0	0	0	0	0	0	0	9.97E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_2_length_5870_cov_140.219948_639_6_1|TLMV	0	0	0	0	0	0	0	0.000721061	0	0	0
R15T01_VL46-0475-05292019|NODE_30_length_2978_cov_68.926445_654_3_1|TLMV	0	0	0	0	0	0	0	9.90E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_31_length_2966_cov_22954.646513_266_5_1|TTV_Clade9	0	0	0.001807603	0	0	0	0.000973581	0.106879095	0	0	0
R15T01_VL46-0475-05292019|NODE_35_length_2946_cov_464.543756_582_6_1|TLMV	0	0	0	0	0	0	0	0.001454107	0	0	0
R15T01_VL46-0475-05292019|NODE_36_length_2945_cov_220.562976_334_4_1|TLMV	0	0	0	0	0	0	0	0.000630218	0	0	0
R15T01_VL46-0475-05292019|NODE_38_length_2940_cov_1721.330676_398_5_1|TTV_Clade1	0	0	7.49E-07	0	0	0	0	0.006092741	0	0	0
R15T01_VL46-0475-05292019|NODE_39_length_2937_cov_92.205066_627_6_1|TLMV	0	0	0	0	0	0	0	0.000275681	0	0	0
R15T01_VL46-0475-05292019|NODE_3_length_5789_cov_68.868329_411_6_1|TLMV	0	0	0	0	0	0	0	0.000195563	0	0	0
R15T01_VL46-0475-05292019|NODE_40_length_2934_cov_100.532824_538_1_1|TLMV	0	0	0	0	0	0	0	0.000276312	0	0	0
R15T01_VL46-0475-05292019|NODE_41_length_2932_cov_18.619048_511_1_1|TLMV	0	0	0	0	0	0	0	5.55E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_42_length_2928_cov_19.026105_362_5_1|TLMV	0	0	0	0	0	0	0	5.68E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_43_length_2927_cov_595.180710_581_5_1|TLMV	0	0	0	0	0	0	0	0.001948062	0	0	0
R15T01_VL46-0475-05292019|NODE_46_length_2916_cov_268.386578_356_2_1|TTV_Clade5	0	0	0.006157383	0	0	0	0	0.001016929	0	6.01E-06	0
R15T01_VL46-0475-05292019|NODE_47_length_2908_cov_57.055380_429_6_1|TLMV	0	0	0	0	0	0	0	0.000132478	0	0	0
R15T01_VL46-0475-05292019|NODE_49_length_2904_cov_19.291330_38_5_1|TLMV	0	0	0	0	0	0	0	5.36E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_50_length_2896_cov_176.923618_255_3_1|TLMV	0	0	0	0	0	0	0	0.000504048	0	0	0
R15T01_VL46-0475-05292019|NODE_51_length_2893_cov_155.545455_358_4_1|TLMV	0	0	0	0	0	0	0	0.000506572	0	0	0
R15T01_VL46-0475-05292019|NODE_53_length_2886_cov_66.363829_519_3_1|TLMV	0	0	2.40E-05	0	0	0	0	0.000160867	0	0	0
R15T01_VL46-0475-05292019|NODE_55_length_2884_cov_120.295157_341_5_1|TLMV	0	0	6.36E-05	0	0	0	0	0.000395542	0	0	0
R15T01_VL46-0475-05292019|NODE_57_length_2878_cov_5.117960_232_4_1|TTV_Clade7	0	0	0	0	0	0	0	2.84E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_58_length_2865_cov_292.476157_363_3_1|TTV_Clade5	0	0	0	0	0	0	0	0.001060457	0	0	0
R15T01_VL46-0475-05292019|NODE_59_length_2864_cov_69.708437_556_1_1|TLMV	0	0	0	0	0	0	0	0.000221428	0	0	0
R15T01_VL46-0475-05292019|NODE_5_length_5627_cov_88.625808_345_3_1|TLMV	0	0	0	0	0	0	0	0.000357691	0	0	0
R15T01_VL46-0475-05292019|NODE_60_length_2852_cov_5825.161244_281_5_1|TTV_Clade9	0	0	0	0	0	0	0	0.023507332	0	0.172323838	0
R15T01_VL46-0475-05292019|NODE_61_length_2851_cov_15.801144_568_4_1|TLMV	0	0	0	0	0	0	0	4.67E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_62_length_2849_cov_32.795276_483_3_1|TLMV	0	0	0	0	0	0	0	8.71E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_65_length_2827_cov_75.920996_205_1_1|TLMV	0	0	0	0	0	0	0	0.000230891	0	0	0
R15T01_VL46-0475-05292019|NODE_66_length_2824_cov_4954.159624_527_2_1|TTMV	0	0	0	0	0	0	0	0.006949434	0	0	0
R15T01_VL46-0475-05292019|NODE_67_length_2812_cov_8165.986942_555_3_1|TTMV	0	0	0	0	0	0	0	0.025091394	0	0	0
R15T01_VL46-0475-05292019|NODE_69_length_2794_cov_256.758306_329_5_1|TLMV	0	0	0	0	0	0	0	0.000693303	0	0	0
R15T01_VL46-0475-05292019|NODE_6_length_4593_cov_1851.591450_2653_4_1|TLMV	0	0	0	0	0	0	0	0.005976034	0	0	0
R15T01_VL46-0475-05292019|NODE_70_length_2793_cov_71.834916_252_3_1|TLMV	0	0	0	0	0	0	0	0.00021512	0	0	0
R15T01_VL46-0475-05292019|NODE_71_length_2789_cov_12.657644_556_4_1|TLMV	0	0	0	0	0	0	0	3.91E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_74_length_2758_cov_74.049945_459_3_1|TLMV	0	0	0	0	0	0	0	0.000165913	0	0	0
R15T01_VL46-0475-05292019|NODE_77_length_2711_cov_228.475527_288_3_1|TLMV	0	0	0	0	0	0	0	0.00077973	0	0	0
R15T01_VL46-0475-05292019|NODE_79_length_2696_cov_33.682696_317_2_1|TLMV	0	0	0	0	0	0	0	0.000106614	0	0	0
R15T01_VL46-0475-05292019|NODE_80_length_2674_cov_38.583429_301_1_1|TLMV	0	0	0	0	0	0	0	0.000117969	0	0	0
R15T01_VL46-0475-05292019|NODE_81_length_2670_cov_735.624857_362_5_1|TLMV	0	0	0	0	0	0	0	0.001912735	0	0	0
R15T01_VL46-0475-05292019|NODE_82_length_2670_cov_90.484512_246_3_1|TLMV	0	0	0	0	0	0	0	0.00026748	0	0	0
R15T01_VL46-0475-05292019|NODE_84_length_2668_cov_97.794489_432_6_1|TLMV	0	0	0	0	0	0	0	0.000255494	0	0	0
R15T01_VL46-0475-05292019|NODE_85_length_2659_cov_71.797235_217_1_1|TLMV	0	0	0.000336211	0	0	0	0	0.000247293	0	0	0
R15T01_VL46-0475-05292019|NODE_86_length_2657_cov_9.130284_349_1_1|TLMV	0	0	0	0	0	0	0	2.14E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_88_length_2641_cov_16.259861_205_1_1|TLMV	0	0	2.25E-06	0	0	0	0	4.98E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_8_length_3751_cov_5928.672348_873_6_1|TTV_Clade3	0	0	0.000998899	0	0	0	0	0.028255103	0	0	0
R15T01_VL46-0475-05292019|NODE_90_length_2620_cov_28.466667_333_6_1|TLMV	0	0	0	0	0	0	0	6.69E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_92_length_2604_cov_34.924284_246_3_1|TLMV	0	0	3.00E-06	0	0	0	0	0.000101567	0	0	0
R15T01_VL46-0475-05292019|NODE_93_length_2602_cov_39.126031_305_2_1|TTV_Clade3	0	0	6.74E-06	0	0	0	0	0.000128693	0	0	0
R15T01_VL46-0475-05292019|NODE_94_length_2591_cov_38.796530_382_4_1|TLMV	0	0	0	0	0	0	0	0.000117969	0	0	0
R15T01_VL46-0475-05292019|NODE_95_length_2579_cov_6204.575674_268_4_1|TTMV	0	0	0	0	0	0	0	0.024377273	0	0	0
R15T01_VL46-0475-05292019|NODE_96_length_2572_cov_776.784664_267_6_1|TTMV	0	0	5.99E-06	0	0	0	0	0.002542953	0	0	0
R15T01_VL46-0475-05292019|NODE_97_length_2565_cov_217.125498_267_3_1|TTMV	0	0	1.50E-06	0	0	0	0	0.000692672	0	0	0
R15T01_VL46-0475-05292019|NODE_98_length_2565_cov_11.044622_222_3_1|TLMV	0	0	1.27E-05	0	0	0	0	2.65E-05	0	0	0
R15T01_VL46-0475-05292019|NODE_99_length_2563_cov_845.076954_280_4_1|TTMV	0	0	0	0	0	0	0	0.002797185	0	0	0
R15T03_VL46-0475-05292019|NODE_2_length_3758_cov_3734.808534_620_2_1|TTV_Clade5	0	0	0.038032303	0	0	0	0	0	0	0.185144891	0
R15T03_VL46-0475-05292019|NODE_5_length_3015_cov_1920.626689_412_1_1|TTV_Clade9	0	0	0	0	0	0	0	7.57E-05	0	0.082997229	0
R15T04_VL46-0475-05292019|NODE_1_length_3794_cov_1174.231345_878_5_1|TTV_Clade5	0	0	0	0	0	0	0	0	0	0	0.930307467
R15T04_VL46-0475-05292019|NODE_2_length_3755_cov_75.053514_874_4_1|TTV_Clade7	0	0	0	0	0	0	0	2.59E-05	0	0	0.058662762
R15T04_VL46-0475-05292019|NODE_3_length_3201_cov_14.840114_488_5_1|TTV_Clade5	0	0	0	0	0	0	0	1.51E-05	0	0	0.010248902
