ID	R07D01	R07D02	R07D03	R07D05	R07T00	R07T01	R07T02	R07T03	R07T04
R07T02-TTVRCA_S8_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_10_length_2942_cov_23.719086_386_5_1|TTV_Clade1	2.3239316030235573e-05	0.0	0.0	0.00022812434009639794		0.0	0.002685720553440198	0.0	0.0
R07T02-TTVRCA_S8_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_11_length_2932_cov_97.435523_632_2_1|TTMV	0.0	0.0	0.0	0.0		0.0	0.008327569263967514	0.0	0.0
R07T02-TTVRCA_S8_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_14_length_2838_cov_3.241466_364_4_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.0002829430554716128	0.0	0.0
R07T02-TTVRCA_S8_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_15_length_2620_cov_23.022222_337_1_1|TTMV	0.0	0.0	0.0	0.0		0.0	0.0019716474941407955	0.0	0.0
R07T02-TTVRCA_S8_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_1_length_6932_cov_1271.894140_412_1_1|TTV_Clade3	0.0	0.0	0.0	0.0		0.0	0.04341385122657158	0.0	0.0
R07T02-TTVRCA_S8_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_3_length_3061_cov_32.802063_353_2_1|TTV_Clade3	0.0	0.0	0.0	0.0		0.0	0.003234594265478485	0.0	1.671338455587762e-05
R07T02-TTVRCA_S8_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_5_length_3030_cov_282.245714_319_4_1|TTV_Clade7	0.0	0.0	0.0	0.0		0.0	0.025920180510506277	0.0	1.5121633645794038e-05
R07T02-TTVRCA_S8_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_8_length_2974_cov_29.498801_292_4_1|TTMV	0.0	0.0	0.0	0.0		0.0	0.002650800366214271	0.0	0.0
R07T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_10_length_2993_cov_15.270252_334_4_1|TTV_Clade7	0.0	0.0	0.0	0.0		0.0	0.00019429950328272145	0.40360175950033084	0.0
R07T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_14_length_2926_cov_237.021247_238_4_1|TTV_Clade5	0.0	0.0	0.00044046585741861096	0.0		0.011609773632107242	0.0027501885913957555	0.0	0.0
R07T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_17_length_2894_cov_4.184220_312_6_1|TTV_Clade3	0.0	0.0	0.0	0.0		0.0	4.74556390506186e-05	0.013686257064985446	0.5573308884039354
R07T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_22_length_2590_cov_11.585799_232_1_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.00011908679233457121	0.0	0.0
R07T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_23_length_2563_cov_113.241627_350_5_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.001166692409112378	0.0	0.0
R07T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_24_length_2561_cov_26.038308_276_3_1|TTMV	0.0	0.0	0.0	0.0		0.0	0.0002820476660555634	0.02239851598611729	0.0
R07T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_25_length_2464_cov_8.913242_246_3_1|TTMV	0.0	0.0	0.0	0.0		0.0	9.535897280926191e-05	0.0	0.0
R07T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_3621_cov_52722.266966_1039_1_1|TTV_Clade1	0.3994043396364882	0.0	0.00057001463901232	0.0		3.6308908935440943e-06	0.7310585965218598	0.0	0.0
R07T03-TTVRCA_S9_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_11_length_2912_cov_944.815191_630_3_1|TTMV	0.0	0.0	0.0	0.0		0.0	0.0	0.0626071179375549	0.0
R07T03-TTVRCA_S9_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_12_length_2900_cov_903.451670_247_1_1|TTMV	0.0	0.0	0.0	0.0		0.0	0.0	0.08104269362519843	0.0
R07T03-TTVRCA_S9_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_14_length_2801_cov_310.553897_557_2_1|TTMV	1.834682844492282e-06	0.0	0.0	0.0		0.0	0.0	0.024614827041930392	0.006286620219375111
R07T03-TTVRCA_S9_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_1_length_4504_cov_40.748932_292_1_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.0	0.007146276529683665	0.0
R07T03-TTVRCA_S9_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_3_length_3490_cov_101.344105_371_2_1|TTV_Clade3	0.0	0.0	0.0	0.0		0.0	0.0	0.011042603301772824	0.3647513127965631
R07T03-TTVRCA_S9_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_5_length_3464_cov_142.614550_371_2_1|TTV_Clade3	0.0	0.0	0.0	0.0		0.0	0.0	0.015651356093331195	0.0
R07T03-TTVRCA_S9_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_6_length_2976_cov_9.691544_650_5_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.0	0.0010799294574046015	0.0
R07T03-TTVRCA_S9_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_7_length_2960_cov_978.177281_557_2_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.0	0.08985995352859752	0.0
R07T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_12_length_2880_cov_8.452035_676_4_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.0	0.00011516236764795542	0.0
R07T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_15_length_2525_cov_641.144534_298_1_1|TTMV	0.0	0.0	0.0	0.0		0.0	3.626327135000101e-05	0.008745565684324145	0.0
R07T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_17_length_2510_cov_18008.270468_267_3_1|TTMV	0.0	0.0	0.0	0.0		0.0	0.0	0.2546685920610225	0.0
R07T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_18_length_2507_cov_16.146003_256_1_1|TTMV	0.0	0.0	0.0	0.0		0.0	0.0	0.00022355047837544287	0.0
R07T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_3383_cov_19.947716_331_4_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.0	0.00023088925670594984	0.01642448176569745
R07T04-TTVRCA_S10_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_3_length_3038_cov_144.425411_355_1_1|TTV_Clade3	0.0	0.0	0.0	0.0		0.0	4.476947080247038e-07	0.0	0.04676643761371071
R07T04-TTVRCA_S10_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_7_length_2829_cov_4.213050_764_2_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.0	1.1290428200779942e-06	0.0017103363528848097
R07T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_2892_cov_352.080367_305_5_1|TLMV	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.006686945573261132
