ID	R12D01	R12T00	R12T01	R12T02	R12T03	R12T04
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_3376_cov_42.206865_525_6_1|TTV_Clade1	0.0	0.0	6.5070487605698876e-06	0.0	0.0008200552122128718	0.0002740479032538994
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_3301_cov_2950.780961_373_4_1|TTV_Clade3	0.0	0.0	0.0	0.0	0.050295510161427505	0.0269981128246429
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_3144_cov_901.855293_664_1_1|TTV_Clade5	0.0	0.0	0.0	0.0	0.01721607946843005	0.10870753256216413
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_3011_cov_314.403586_412_1_1|TTV_Clade9	0.0	0.0	0.0	0.0	0.006295556607032445	0.05216577740918468
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_2960_cov_304.993460_370_1_1|TTV_Clade5	0.0	0.0	0.0	0.0	0.0060466371930598655	0.014171392594794208
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_10_length_3010_cov_14.723858_769_1_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.0002948212137046323
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_11_length_2986_cov_312.594336_366_3_1|TTV_Clade3	0.0	0.0	0.0	0.0	0.0	0.006611505537685182
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_15_length_2905_cov_44.094737_262_4_1|TTV_Clade3	0.0	0.0	0.0	0.0	6.531413194615793e-06	0.0009188195007054935
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_16_length_2887_cov_339.092161_383_2_1|TTV_Clade3	0.0	0.0	0.0	0.0	2.177137731538598e-05	0.006910321618784186
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_17_length_2873_cov_285.954933_294_6_1|TTV_Clade9	0.0	0.0	0.0	0.0	0.0	0.005942764735867357
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_18_length_2859_cov_1954.922611_359_5_1|TTV_Clade6	0.0	0.0	0.0	7.638596606477071e-07	0.05190441494503453	0.04681105715376884
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_19_length_2852_cov_3340.660708_372_3_1|TTV_Clade7	0.0	0.0	0.0	0.008785913816769927	0.04552757852935797	0.06894102457163037
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_20_length_2830_cov_139.777658_341_2_1|TTV_Clade3	0.0	0.0	0.0	0.0	0.0	0.0029330316409477103
R12T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_22_length_2656_cov_131.263360_231_6_1|TTV_Clade9	0.0	2.9350474010155263e-05	0.07915174112357211	0.00692286010445017	0.004442812397493098	0.005966733940233588
