,KU296299,KU296545,KP759662,KU143802,KR105310,KR817082,KM233072,KR534516,KP759613,KU143807,KM233100,KR653303,KR817121,KX013091,KT357835,KR534526,KT725285,KR817183,KY401645,KU296745,MH121165,KU182899,MH733479,MH733482,MH733483,MH733478,MH733480,MH733485,MH733481,MH733491,MH733484,MH733487,MH733486,MH733489,MH733488,MH733477,MH733490,MH898466,KC242792,KC242793,KC242795,KC242797,KC242794,KC242798,KM519951,KP271018,MK044559,KR819004,MK044561,MK044560,KP271020,AY142960,KY425630,AF499101,KY425639,MK088515,MH613311,MH481611,MK163665,MK163661,MK163674,MK007337,MK163667,MK731988,MK731990,MK007339,MK007330,MK007341,MK163656,MK163644,MK731992,MK007329,MK007340,MK163666,MK163672,MK163670,MK163675,MK007333,MK163662,MK731986,MK731985,MK731989,MK163650,MK163647,MK163654,MK163669,MK731987,MK163658,MK163649,MK007338,MK163668,MK007332,MK007331,MK007334,MK007335,MK007336,MK163655,MK163651,MK163646,MK731993,MK163660,MK731994,MK163653,MK163652,MK163645,MK163663,MK007343,MK163673,MK007344,MK163648,MK007342,KC242784,KC242785,KC242786,KC242787,KC242790,KC242788,HQ613403,KC242789,HQ613402,KC242800,KY471124,KY471125,KU182910,NC_014372,FJ217162,MH121167,KR063673,NC_014373,MK028835,KC545393,KC545395,KC545394,KC545396,NC_039345,MK340750,MF319186,AY769362,KY798004,KY798005,KY798006,MK088530,AF522874,NC_004161,KY008770,JX477166,KY798009,AB050936,KY798008,KY798007,MF540571,FJ621585,KY798012,KY798010,FJ621584,KU182912,AY729654,MH121163,JN638998,KC545389,KC545390,KC545391,KC545392,KC589025,KT878488,MH121162,MK952150,FJ968794,KC242783,EU338380,MH121169,KT750754
KC242798,96.32,96.75,96.75,96.75,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.60,96.75,96.89,96.89,96.60,96.46,98.96,98.82,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,98.96,98.97,99.26,99.56,99.56,99.56,100.00,,98.52,98.52,98.52,98.52,98.67,98.67,98.22,98.22,98.22,97.93,97.93,97.04,97.04,97.19,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.63,97.63,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,96.89,96.89,96.89,65.55,65.55,65.55,65.55,64.87,64.87,64.72,65.01,65.16,65.16,65.16,61.75,62.04,61.75,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,57.73,57.44,57.44,57.44,57.00,54.21,54.21,54.21,54.21,54.07,54.07,54.07,54.07,54.07,54.07,54.07,54.07,53.92,54.21,54.21,54.21,54.07
KM519951,96.32,96.75,96.75,96.75,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.60,96.75,96.89,96.89,96.60,96.46,98.96,98.82,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,98.96,98.97,98.67,98.96,98.96,98.96,98.52,98.52,,100.00,100.00,100.00,99.85,99.85,99.70,98.52,98.52,98.22,98.22,98.22,98.22,98.37,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.63,97.63,97.49,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.19,97.19,97.19,65.85,65.85,65.85,65.85,65.16,65.16,65.01,65.31,65.45,65.45,65.45,61.61,61.90,61.61,58.75,58.75,58.75,58.75,58.75,58.61,58.61,58.61,58.61,58.61,58.75,58.32,58.32,58.02,57.73,57.59,57.59,57.30,54.49,54.49,54.49,54.49,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.21,54.49,54.49,54.49,54.35
KP271018,96.32,96.75,96.75,96.75,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.60,96.75,96.89,96.89,96.60,96.46,98.96,98.82,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,98.96,98.97,98.67,98.96,98.96,98.96,98.52,98.52,100.00,,100.00,100.00,99.85,99.85,99.70,98.52,98.52,98.22,98.22,98.22,98.22,98.37,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.63,97.63,97.49,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.19,97.19,97.19,65.85,65.85,65.85,65.85,65.16,65.16,65.01,65.31,65.45,65.45,65.45,61.61,61.90,61.61,58.75,58.75,58.75,58.75,58.75,58.61,58.61,58.61,58.61,58.61,58.75,58.32,58.32,58.02,57.73,57.59,57.59,57.30,54.49,54.49,54.49,54.49,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.21,54.49,54.49,54.49,54.35
MK044559,96.32,96.75,96.75,96.75,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.60,96.75,96.89,96.89,96.60,96.46,98.96,98.82,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,98.96,98.97,98.67,98.96,98.96,98.96,98.52,98.52,100.00,100.00,,100.00,99.85,99.85,99.70,98.52,98.52,98.22,98.22,98.22,98.22,98.37,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.63,97.63,97.49,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.19,97.19,97.19,65.85,65.85,65.85,65.85,65.16,65.16,65.01,65.31,65.45,65.45,65.45,61.61,61.90,61.61,58.75,58.75,58.75,58.75,58.75,58.61,58.61,58.61,58.61,58.61,58.75,58.32,58.32,58.02,57.73,57.59,57.59,57.30,54.49,54.49,54.49,54.49,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.21,54.49,54.49,54.49,54.35
KR819004,96.32,96.75,96.75,96.75,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.60,96.75,96.89,96.89,96.60,96.46,98.96,98.82,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,99.11,98.96,98.97,98.67,98.96,98.96,98.96,98.52,98.52,100.00,100.00,100.00,,99.85,99.85,99.70,98.52,98.52,98.22,98.22,98.22,98.22,98.37,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.63,97.63,97.49,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.19,97.19,97.19,65.85,65.85,65.85,65.85,65.16,65.16,65.01,65.31,65.45,65.45,65.45,61.61,61.90,61.61,58.75,58.75,58.75,58.75,58.75,58.61,58.61,58.61,58.61,58.61,58.75,58.32,58.32,58.02,57.73,57.59,57.59,57.30,54.49,54.49,54.49,54.49,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.35,54.21,54.49,54.49,54.49,54.35
MK044561,96.46,96.90,96.89,96.89,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,96.75,96.89,97.04,97.04,96.75,96.60,99.11,98.96,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.11,99.12,98.82,99.11,99.11,99.11,98.67,98.67,99.85,99.85,99.85,99.85,,100.00,99.56,98.67,98.67,98.37,98.37,98.37,98.37,98.52,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.78,97.78,97.78,97.64,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.34,97.34,97.34,65.70,65.70,65.70,65.70,65.01,65.01,64.87,65.16,65.31,65.31,65.31,61.75,62.04,61.75,58.61,58.61,58.61,58.61,58.61,58.46,58.46,58.46,58.46,58.46,58.61,58.17,58.17,57.88,57.59,57.59,57.59,57.15,54.35,54.35,54.35,54.35,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.07,54.35,54.35,54.35,54.21
MK044560,96.46,96.90,96.89,96.89,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,96.75,96.89,97.04,97.04,96.75,96.60,99.11,98.96,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.26,99.11,99.12,98.82,99.11,99.11,99.11,98.67,98.67,99.85,99.85,99.85,99.85,100.00,,99.56,98.67,98.67,98.37,98.37,98.37,98.37,98.52,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.78,97.78,97.78,97.64,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.34,97.34,97.34,65.70,65.70,65.70,65.70,65.01,65.01,64.87,65.16,65.31,65.31,65.31,61.75,62.04,61.75,58.61,58.61,58.61,58.61,58.61,58.46,58.46,58.46,58.46,58.46,58.61,58.17,58.17,57.88,57.59,57.59,57.59,57.15,54.35,54.35,54.35,54.35,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.07,54.35,54.35,54.35,54.21
KP271020,96.02,96.46,96.45,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.30,96.45,96.60,96.60,96.30,96.16,98.67,98.52,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.82,98.67,98.68,98.37,98.67,98.67,98.67,98.22,98.22,99.70,99.70,99.70,99.70,99.56,99.56,,98.22,98.22,97.93,97.93,97.93,97.93,98.08,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.34,97.34,97.34,97.20,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,96.89,96.89,96.89,65.70,65.70,65.70,65.70,65.01,65.01,64.87,65.16,65.31,65.31,65.31,61.47,61.75,61.47,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,57.73,57.44,57.30,57.30,57.00,54.35,54.35,54.35,54.35,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.07,54.35,54.35,54.35,54.21
AY142960,96.76,97.20,97.19,97.19,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.04,97.19,97.34,97.34,97.04,96.90,98.96,98.82,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.37,98.38,98.37,98.67,98.67,98.67,98.22,98.22,98.52,98.52,98.52,98.52,98.67,98.67,98.22,,100.00,99.70,99.70,98.08,98.08,98.22,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.22,98.22,98.22,98.08,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,97.93,97.93,97.93,65.55,65.55,65.55,65.55,65.01,65.01,64.87,65.16,65.31,65.31,65.31,61.61,61.90,61.61,58.32,58.32,58.32,58.32,58.32,58.17,58.17,58.17,58.17,58.17,58.32,57.88,57.88,57.59,57.30,57.30,57.30,56.86,54.35,54.35,54.35,54.35,54.21,54.21,54.21,54.21,54.21,53.92,53.92,53.92,53.78,54.07,54.07,54.07,53.92
KY425630,96.76,97.20,97.19,97.19,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.04,97.19,97.34,97.34,97.04,96.90,98.96,98.82,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.52,98.37,98.38,98.37,98.67,98.67,98.67,98.22,98.22,98.52,98.52,98.52,98.52,98.67,98.67,98.22,100.00,,99.70,99.70,98.08,98.08,98.22,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.37,98.22,98.22,98.22,98.08,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,97.93,97.93,97.93,65.55,65.55,65.55,65.55,65.01,65.01,64.87,65.16,65.31,65.31,65.31,61.61,61.90,61.61,58.32,58.32,58.32,58.32,58.32,58.17,58.17,58.17,58.17,58.17,58.32,57.88,57.88,57.59,57.30,57.30,57.30,56.86,54.35,54.35,54.35,54.35,54.21,54.21,54.21,54.21,54.21,53.92,53.92,53.92,53.78,54.07,54.07,54.07,53.92
AF499101,96.46,96.90,96.89,96.89,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,96.75,96.89,97.04,97.04,96.75,96.60,98.67,98.52,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.08,98.08,98.08,98.37,98.37,98.37,97.93,97.93,98.22,98.22,98.22,98.22,98.37,98.37,97.93,99.70,99.70,,100.00,97.78,97.78,97.93,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,97.93,97.93,97.93,97.79,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.63,97.63,97.63,65.41,65.41,65.41,65.41,65.01,65.01,64.87,65.16,65.31,65.31,65.31,61.32,61.61,61.32,58.17,58.17,58.17,58.17,58.17,58.02,58.02,58.02,58.02,58.02,58.17,57.73,57.73,57.44,57.15,57.15,57.15,56.71,54.21,54.21,54.21,54.21,54.07,54.07,54.07,54.07,54.07,53.78,53.78,53.78,53.64,53.92,53.92,53.92,53.78
KY425639,96.46,96.90,96.89,96.89,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,96.75,96.89,97.04,97.04,96.75,96.60,98.67,98.52,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.22,98.08,98.08,98.08,98.37,98.37,98.37,97.93,97.93,98.22,98.22,98.22,98.22,98.37,98.37,97.93,99.70,99.70,100.00,,97.78,97.78,97.93,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,98.08,97.93,97.93,97.93,97.79,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.63,97.63,97.63,65.41,65.41,65.41,65.41,65.01,65.01,64.87,65.16,65.31,65.31,65.31,61.32,61.61,61.32,58.17,58.17,58.17,58.17,58.17,58.02,58.02,58.02,58.02,58.02,58.17,57.73,57.73,57.44,57.15,57.15,57.15,56.71,54.21,54.21,54.21,54.21,54.07,54.07,54.07,54.07,54.07,53.78,53.78,53.78,53.64,53.92,53.92,53.92,53.78
MK088515,95.72,96.16,96.15,96.15,96.30,96.30,96.30,96.30,96.30,96.30,96.30,96.30,96.30,96.30,96.01,96.15,96.30,96.30,96.01,95.86,97.78,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.49,97.49,97.19,97.49,97.49,97.49,97.04,97.04,98.22,98.22,98.22,98.22,98.37,98.37,97.93,98.08,98.08,97.78,97.78,,100.00,99.85,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.78,97.78,97.78,97.64,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,96.60,96.60,96.60,65.26,65.26,65.26,65.26,64.58,64.58,64.43,64.72,64.87,64.87,64.87,61.61,61.90,61.61,58.32,58.32,58.32,58.32,58.32,58.17,58.17,58.17,58.46,58.46,58.61,58.17,58.17,57.88,57.59,57.59,57.59,57.15,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,54.07,54.07,54.07,53.92,54.07,54.07,54.07,54.07
MH613311,95.72,96.16,96.15,96.15,96.30,96.30,96.30,96.30,96.30,96.30,96.30,96.30,96.30,96.30,96.01,96.15,96.30,96.30,96.01,95.86,97.78,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.49,97.49,97.19,97.49,97.49,97.49,97.04,97.04,98.22,98.22,98.22,98.22,98.37,98.37,97.93,98.08,98.08,97.78,97.78,100.00,,99.85,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.78,97.78,97.78,97.64,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,97.34,96.60,96.60,96.60,65.26,65.26,65.26,65.26,64.58,64.58,64.43,64.72,64.87,64.87,64.87,61.61,61.90,61.61,58.32,58.32,58.32,58.32,58.32,58.17,58.17,58.17,58.46,58.46,58.61,58.17,58.17,57.88,57.59,57.59,57.59,57.15,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,54.07,54.07,54.07,53.92,54.07,54.07,54.07,54.07
MH481611,95.87,96.31,96.30,96.30,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.15,96.30,96.45,96.45,96.15,96.01,97.93,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.64,97.34,97.63,97.63,97.63,97.19,97.19,98.37,98.37,98.37,98.37,98.52,98.52,98.08,98.22,98.22,97.93,97.93,99.85,99.85,,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.63,97.63,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,96.75,96.75,96.75,65.26,65.26,65.26,65.26,64.58,64.58,64.43,64.72,64.87,64.87,64.87,61.61,61.90,61.61,58.32,58.32,58.32,58.32,58.32,58.17,58.17,58.17,58.46,58.46,58.61,58.17,58.17,57.88,57.59,57.59,57.59,57.15,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,54.07,54.07,54.07,53.92,54.07,54.07,54.07,54.07
MK163665,96.02,96.46,96.45,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.30,96.45,96.60,96.60,96.30,96.16,98.22,98.08,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.64,97.63,97.93,97.93,97.93,97.78,97.78,97.78,97.78,97.78,97.78,97.93,97.93,97.49,98.37,98.37,98.08,98.08,97.93,97.93,97.78,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.85,99.85,99.85,99.71,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.19,97.19,97.19,65.85,65.85,65.85,65.85,64.87,64.87,64.72,65.01,65.16,65.16,65.16,61.90,62.18,61.90,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,57.73,57.44,57.44,57.44,57.15,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,54.07,54.07,54.07,53.92,54.07,54.07,54.07,54.07
MK163661,96.02,96.46,96.45,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.30,96.45,96.60,96.60,96.30,96.16,98.22,98.08,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.64,97.63,97.93,97.93,97.93,97.78,97.78,97.78,97.78,97.78,97.78,97.93,97.93,97.49,98.37,98.37,98.08,98.08,97.93,97.93,97.78,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.85,99.85,99.85,99.71,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.19,97.19,97.19,65.85,65.85,65.85,65.85,64.87,64.87,64.72,65.01,65.16,65.16,65.16,61.90,62.18,61.90,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,57.73,57.44,57.44,57.44,57.15,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,54.07,54.07,54.07,53.92,54.07,54.07,54.07,54.07
MK163674,96.02,96.46,96.45,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.30,96.45,96.60,96.60,96.30,96.16,98.22,98.08,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.64,97.63,97.93,97.93,97.93,97.78,97.78,97.78,97.78,97.78,97.78,97.93,97.93,97.49,98.37,98.37,98.08,98.08,97.93,97.93,97.78,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.85,99.85,99.85,99.71,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.19,97.19,97.19,65.85,65.85,65.85,65.85,64.87,64.87,64.72,65.01,65.16,65.16,65.16,61.90,62.18,61.90,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,57.73,57.44,57.44,57.44,57.15,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,54.07,54.07,54.07,53.92,54.07,54.07,54.07,54.07
MK007337,96.02,96.46,96.45,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.30,96.45,96.60,96.60,96.30,96.16,98.22,98.08,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.63,97.64,97.63,97.93,97.93,97.93,97.78,97.78,97.78,97.78,97.78,97.78,97.93,97.93,97.49,98.37,98.37,98.08,98.08,97.93,97.93,97.78,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.85,99.85,99.85,99.71,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.19,97.19,97.19,65.85,65.85,65.85,65.85,64.87,64.87,64.72,65.01,65.16,65.16,65.16,61.90,62.18,61.90,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,57.73,57.44,57.44,57.44,57.15,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,54.07,54.07,54.07,53.92,54.07,54.07,54.07,54.07
